iter	Passed	Remaining
0	1	253
1	2	217
2	3	206
3	4	202
4	5	197
5	6	194
6	6	191
7	7	190
8	8	188
9	9	187
10	10	186
11	11	184
12	12	183
13	14	187
14	15	187
15	16	185
16	17	184
17	18	183
18	19	182
19	20	180
20	21	179
21	22	178
22	22	176
23	23	175
24	24	174
25	25	173
26	26	171
27	27	170
28	28	169
29	29	168
30	30	166
31	31	165
32	32	164
33	33	163
34	34	161
35	35	160
36	36	159
37	37	158
38	38	157
39	39	156
40	40	155
41	41	154
42	42	153
43	43	152
44	44	151
45	45	150
46	46	149
47	47	148
48	47	147
49	48	146
50	49	145
51	50	144
52	51	144
53	52	143
54	53	142
55	54	141
56	55	140
57	56	139
58	57	138
59	58	137
60	59	136
61	60	135
62	61	134
63	62	133
64	63	132
65	64	131
66	65	130
67	66	129
68	67	128
69	68	127
70	69	127
71	70	126
72	71	125
73	72	124
74	73	122
75	74	121
76	75	121
77	76	120
78	77	119
79	78	118
80	79	117
81	80	116
82	81	115
83	82	114
84	83	112
85	84	111
86	85	110
87	86	109
88	87	108
89	88	107
90	89	106
91	90	105
92	91	104
93	92	103
94	93	103
95	94	101
96	95	100
97	96	99
98	97	98
99	97	97
100	98	97
101	99	96
102	100	95
103	101	94
104	102	93
105	103	92
106	104	91
107	105	90
108	106	89
109	107	88
110	108	87
111	109	86
112	110	85
113	111	84
114	112	83
115	113	82
116	114	81
117	115	80
118	116	79
119	117	78
120	118	77
121	119	76
122	120	75
123	121	74
124	122	73
125	123	72
126	124	71
127	125	70
128	126	69
129	127	68
130	128	67
131	129	66
132	130	65
133	131	64
134	132	63
135	132	62
136	133	61
137	134	60
138	135	59
139	136	58
140	137	57
141	138	56
142	139	55
143	140	54
144	141	53
145	142	52
146	143	51
147	144	50
148	145	49
149	146	48
150	147	47
151	148	46
152	149	45
153	150	44
154	151	43
155	152	42
156	153	41
157	154	40
158	155	39
159	156	39
160	157	38
161	158	37
162	159	36
163	160	35
164	161	34
165	162	33
166	162	32
167	163	31
168	164	30
169	165	29
170	166	28
171	167	27
172	168	26
173	169	25
174	170	24
175	171	23
176	172	22
177	173	21
178	174	20
179	175	19
180	176	18
181	177	17
182	178	16
183	179	15
184	180	14
185	181	13
186	182	12
187	183	11
188	184	10
189	185	9
190	186	8
191	187	7
192	188	6
193	189	5
194	190	4
195	191	3
196	192	2
197	193	1
198	194	0
199	195	0
